Log,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_torque_M2,mixer_torque_M1,mixer_torque_M1_O,mixer_speed_M2,mixer_speed_M1,Time
,,,1.0923,1.0923,,20,20,5/11/2023 6:56
,,,1.0923,1.0923,,20,20,5/11/2023 6:56
,,,1.0923,1.0923,,20,20,5/11/2023 6:56
,,,1.0923,1.0923,,20,20,5/11/2023 6:56
,,,1.0923,1.0923,,20,20,5/11/2023 6:56
,,,1.0923,1.0923,,20,20,5/11/2023 6:56
,,,1.0923,1.0923,,20,20,5/11/2023 6:56
,,,1.0923,1.0923,,20,20,5/11/2023 6:56
,,,1.0923,1.0923,,20,20,5/11/2023 6:56
,,,1.0923,1.0923,,20,20,5/11/2023 6:56
,,,1.0923,1.0923,,20,20,5/11/2023 6:56
,,,1.0923,1.0923,,20,20,5/11/2023 6:56
,,,1.0923,1.0923,,20,20,5/11/2023 6:56
,,,1.0923,1.0923,,20,20,5/11/2023 6:56
,,,1.0923,1.0923,,20,20,5/11/2023 6:56
,,,1.077835,1.077835,,20,20,5/11/2023 6:56
,,,1.0923,1.0923,,20,20,5/11/2023 6:56
,,,1.0923,1.0923,,20,20,5/11/2023 6:56
,,,1.0923,1.0923,,20,20,5/11/2023 6:56
,,,1.0923,1.0923,,20,20,5/11/2023 6:56
,,,1.0923,1.0923,,20,20,5/11/2023 6:56
,,,1.0923,1.0923,,20,20,5/11/2023 6:56
,,,1.0923,1.0923,,20,20,5/11/2023 6:56
,,,1.0923,1.0923,,20,20,5/11/2023 6:56
,,,1.0923,1.0923,,20,20,5/11/2023 6:56
,,,1.0923,1.0923,,20,20,5/11/2023 6:56
,,,1.0923,1.0923,,20,20,5/11/2023 6:57
,,,1.0923,1.0923,,20,20,5/11/2023 6:57
,,,1.0923,1.0923,,20,20,5/11/2023 6:57
,,,1.0923,1.0923,,20,20,5/11/2023 6:57
,,,1.0923,1.0923,,20,20,5/11/2023 6:57
,,,1.0923,1.0923,,20,20,5/11/2023 6:57
,,,1.0923,1.0923,,20,20,5/11/2023 6:57
,,,1.0923,1.0923,,20,20,5/11/2023 6:57
,,,1.0923,1.0923,,20,20,5/11/2023 6:57
,,,1.0923,1.0923,,20,20,5/11/2023 6:57
,,,1.0923,1.0923,,20,20,5/11/2023 6:57
,,,1.0923,1.0923,,20,20,5/11/2023 6:57
,,,1.0923,1.0923,,20,20,5/11/2023 6:57
,,,1.0923,1.0923,,20,20,5/11/2023 6:57
,,,1.0923,1.0923,,20,20,5/11/2023 6:57
,,,1.106766,1.106766,,20,20,5/11/2023 6:57
,,,1.0923,1.0923,,20,20,5/11/2023 6:57
,,,1.0923,1.0923,,20,20,5/11/2023 6:57
,,,1.0923,1.0923,,20,20,5/11/2023 6:57
,,,1.0923,1.0923,,20,20,5/11/2023 6:57
,,,1.0923,1.0923,,20,20,5/11/2023 6:57
,,,1.0923,1.0923,,20,20,5/11/2023 6:57
,,,1.0923,1.0923,,20,20,5/11/2023 6:57
,,,1.0923,1.0923,,20,20,5/11/2023 6:57
,,,1.0923,1.0923,,20,20,5/11/2023 6:57
,,,1.0923,1.0923,,20,20,5/11/2023 6:57
,,,1.0923,1.0923,,20,20,5/11/2023 6:57
,,,1.0923,1.0923,,20,20,5/11/2023 6:57
,,,1.0923,1.0923,,20,20,5/11/2023 6:57
,,,1.0923,1.0923,,20,20,5/11/2023 6:57
,,,1.0923,1.0923,,20,20,5/11/2023 6:57
,,,1.0923,1.0923,,20,20,5/11/2023 6:57
,,,1.0923,1.0923,,20,20,5/11/2023 6:57
,,,1.0923,1.0923,,20,20,5/11/2023 6:57
,,,1.0923,1.0923,,20,20,5/11/2023 6:57
,,,1.0923,1.0923,,20,20,5/11/2023 6:57
,,,1.0923,1.0923,,20,20,5/11/2023 6:57
,,,1.0923,1.0923,,20,20,5/11/2023 6:57
,,,1.0923,1.0923,,20,20,5/11/2023 6:57
,,,1.0923,1.0923,,20,20,5/11/2023 6:57
,,,1.0923,1.0923,,20,20,5/11/2023 6:57
,,,1.0923,1.0923,,20,20,5/11/2023 6:57
,,,1.0923,1.0923,,20,20,5/11/2023 6:57
,,,1.0923,1.0923,,20,20,5/11/2023 6:57
,,,1.0923,1.0923,,20,20,5/11/2023 6:57
,,,1.0923,1.0923,,20,20,5/11/2023 6:57
,,,1.0923,1.0923,,20,20,5/11/2023 6:57
,,,1.0923,1.0923,,20,20,5/11/2023 6:57
,,,1.0923,1.0923,,20,20,5/11/2023 6:57
,,,1.0923,1.0923,,20,20,5/11/2023 6:57
,,,1.0923,1.0923,,20,20,5/11/2023 6:57
,,,1.0923,1.0923,,20,20,5/11/2023 6:57
,,,1.0923,1.0923,,20,20,5/11/2023 6:57
,,,1.0923,1.0923,,20,20,5/11/2023 6:57
,,,1.0923,1.0923,,20,20,5/11/2023 6:57
,,,1.0923,1.0923,,20,20,5/11/2023 6:57
,,,1.0923,1.0923,,20,20,5/11/2023 6:57
,,,1.0923,1.0923,,20,20,5/11/2023 6:57
,,,1.0923,1.0923,,20,20,5/11/2023 6:57
,,,1.0923,1.0923,,20,20,5/11/2023 6:58
,,,1.0923,1.0923,,20,20,5/11/2023 6:58
,,,1.0923,1.0923,,20,20,5/11/2023 6:58
,,,1.0923,1.0923,,20,20,5/11/2023 6:58
,,,1.0923,1.0923,,20,20,5/11/2023 6:58
,,,1.0923,1.0923,,20,20,5/11/2023 6:58
,,,1.0923,1.0923,,20,20,5/11/2023 6:58
,,,1.0923,1.0923,,20,20,5/11/2023 6:58
,,,1.0923,1.0923,,20,20,5/11/2023 6:58
,,,1.0923,1.0923,,20,20,5/11/2023 6:58
,,,1.0923,1.0923,,20,20,5/11/2023 6:58
,,,1.0923,1.0923,,20,20,5/11/2023 6:58
,,,1.0923,1.0923,,20,20,5/11/2023 6:58
,,,1.0923,1.0923,,20,20,5/11/2023 6:58
,,,1.0923,1.0923,,20,20,5/11/2023 6:58
,,,1.0923,1.0923,,20,20,5/11/2023 6:58
,,,1.0923,1.0923,,20,20,5/11/2023 6:58
,,,1.0923,1.0923,,20,20,5/11/2023 6:58
,,,1.0923,1.0923,,20,20,5/11/2023 6:58
,,,1.0923,1.0923,,20,20,5/11/2023 6:58
,,,1.0923,1.0923,,20,20,5/11/2023 6:58
,,,1.0923,1.0923,,20,20,5/11/2023 6:58
,,,1.0923,1.0923,,20,20,5/11/2023 6:58
,,,1.0923,1.0923,,20,20,5/11/2023 6:58
,,,1.0923,1.0923,,20,20,5/11/2023 6:58
,,,1.0923,1.0923,,20,20,5/11/2023 6:58
,,,1.0923,1.0923,,20,20,5/11/2023 6:58
,,,1.0923,1.0923,,20,20,5/11/2023 6:58
,,,1.0923,1.0923,,20,20,5/11/2023 6:58
,,,1.0923,1.0923,,20,20,5/11/2023 6:58
,,,1.0923,1.0923,,20,20,5/11/2023 6:58
,,,1.0923,1.0923,,20,20,5/11/2023 6:58
,,,1.0923,1.0923,,20,20,5/11/2023 6:58
,,,1.106766,1.106766,,20,20,5/11/2023 6:58
,,,1.0923,1.0923,,20,20,5/11/2023 6:58
,,,1.0923,1.0923,,20,20,5/11/2023 6:58
,,,1.0923,1.0923,,20,20,5/11/2023 6:58
,,,1.0923,1.0923,,20,20,5/11/2023 6:58
,,,1.0923,1.0923,,20,20,5/11/2023 6:58
,,,1.0923,1.0923,,20,20,5/11/2023 6:58
,,,1.0923,1.0923,,20,20,5/11/2023 6:58
,,,1.0923,1.0923,,20,20,5/11/2023 6:58
,,,1.0923,1.0923,,20,20,5/11/2023 6:58
,,,1.0923,1.0923,,20,20,5/11/2023 6:58
,,,1.0923,1.0923,,20,20,5/11/2023 6:58
,,,1.0923,1.0923,,20,20,5/11/2023 6:58
,,,1.0923,1.0923,,20,20,5/11/2023 6:58
,,,1.0923,1.0923,,20,20,5/11/2023 6:58
,,,1.0923,1.0923,,20,20,5/11/2023 6:58
,,,1.0923,1.0923,,20,20,5/11/2023 6:58
,,,1.106766,1.106766,,20,20,5/11/2023 6:58
,,,1.0923,1.0923,,20,20,5/11/2023 6:58
,,,1.0923,1.0923,,20,20,5/11/2023 6:58
,,,1.0923,1.0923,,20,20,5/11/2023 6:58
,,,1.0923,1.0923,,20,20,5/11/2023 6:58
,,,1.0923,1.0923,,20,20,5/11/2023 6:58
,,,1.0923,1.0923,,20,20,5/11/2023 6:58
,,,1.106766,1.106766,,20,20,5/11/2023 6:58
,,,1.0923,1.0923,,20,20,5/11/2023 6:58
,,,1.0923,1.0923,,20,20,5/11/2023 6:58
,,,1.0923,1.0923,,20,20,5/11/2023 6:59
,,,1.0923,1.0923,,20,20,5/11/2023 6:59
,,,1.0923,1.0923,,20,20,5/11/2023 6:59
,,,1.0923,1.0923,,20,20,5/11/2023 6:59
,,,1.0923,1.0923,,20,20,5/11/2023 6:59
,,,1.0923,1.0923,,20,20,5/11/2023 6:59
,,,1.0923,1.0923,,20,20,5/11/2023 6:59
,,,1.0923,1.0923,,20,20,5/11/2023 6:59
,,,1.0923,1.0923,,20,20,5/11/2023 6:59
,,,1.0923,1.0923,,20,20,5/11/2023 6:59
,,,1.0923,1.0923,,20,20,5/11/2023 6:59
