Log,ac_flowrate,cp_pressure,cp_temperature,cp_flowrate,mixer_pressure,mixer_temperature_Funnel,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_torque_M2,mixer_torque_M1,mixer_speed_M2,mixer_speed_M1,Time
1,0.0,0.4761,23.9,1.5,0.0293,23.9,18.8,17.5,0.2643,0.0755,0.0,0.0,11:47:42.403
2,0.0,0.5762,25.4,1.5,0.0,25.3,18.8,17.9,0.3021,0.1133,0.0,0.0,11:47:42.659
3,0.0,0.4627,25.4,1.5,0.0,25.3,19.1,17.5,0.3021,0.0755,0.0,0.0,11:47:42.893
4,0.0,0.47,23.9,1.5,0.0012,23.9,18.8,17.7,0.3398,0.1133,0.0,0.0,11:47:43.151
5,0.0,0.4651,23.9,1.5,0.0,25.3,19.1,17.9,0.2266,0.0755,0.0,0.0,11:47:43.410
6,0.0,0.459,23.9,1.5,0.0,25.3,19.1,17.7,0.3398,0.0755,0.0,0.0,11:47:43.676
7,0.0,0.3674,23.9,1.5,0.0208,23.9,18.8,17.9,0.2266,0.0378,0.0,0.0,11:47:43.934
8,0.0,0.4309,23.9,1.5,0.0293,25.3,19.1,17.7,0.4154,0.1133,0.0,0.0,11:47:44.198
9,0.0,0.3833,25.4,1.5,0.0,25.3,18.8,17.7,0.2643,0.0755,0.0,0.0,11:47:44.471
10,0.0,0.4407,23.9,1.5,0.0,25.3,18.8,17.5,0.3021,0.1133,0.0,0.0,11:47:44.736
11,0.0,0.4871,23.9,1.5,0.0,25.3,19.1,17.7,0.3021,0.0755,0.0,0.0,11:47:44.996
12,0.0,0.4358,23.9,1.5,0.1038,23.9,19.3,17.9,0.2643,0.0378,0.0,0.0,11:47:45.254
13,0.0,0.4382,25.4,1.5,0.0586,23.8,18.8,17.9,0.151,0.151,0.0,0.0,11:47:45.483
14,0.0,0.4358,23.9,1.5,0.0354,23.9,19.3,17.9,0.4154,0.151,0.0,0.0,11:47:45.703
15,0.0,0.4492,25.4,1.5,0.0537,23.9,19.3,17.9,0.3776,0.0378,0.0,0.0,11:47:45.924
16,0.0,0.4285,23.9,1.5,0.0,23.9,19.5,17.9,0.1888,0.0755,0.0,0.0,11:47:46.144
17,0.0,0.3821,24.0,1.5,0.011,23.9,19.1,17.5,0.3398,0.0,0.0,0.0,11:47:46.365
18,0.0,0.5152,23.9,1.5,0.0,23.9,19.1,17.9,0.2643,0.0378,0.0,0.0,11:47:46.591
19,0.0,0.4212,23.9,1.5,0.0,23.9,19.3,17.7,0.151,0.0378,0.0,0.0,11:47:46.811
20,0.0,0.4761,23.9,1.5,0.0769,25.3,19.1,17.7,0.1888,0.1133,0.0,0.0,11:47:47.039
21,0.0,0.5054,23.9,1.5,0.0024,23.9,19.1,17.5,0.2643,0.0755,0.0,0.0,11:47:47.268
22,0.0,0.4883,25.4,1.5,0.0,23.9,19.1,17.5,0.2643,0.1133,0.0,0.0,11:47:47.495
23,0.0,0.4639,23.9,1.5,0.0,23.9,18.8,17.5,0.2266,0.0755,0.0,0.0,11:47:47.721
24,0.0,0.4822,23.9,1.5,0.0,23.9,18.8,17.5,0.2643,0.0378,0.0,0.0,11:47:47.953
25,0.0,0.4358,25.4,1.5,0.0,23.9,19.3,17.9,0.2643,0.1133,0.0,0.0,11:47:48.192
26,0.0,0.5078,25.4,1.5,0.0,25.3,19.1,17.9,0.3398,0.0755,0.0,0.0,11:47:48.433
27,0.0,0.4004,23.9,1.5,0.0,23.9,19.1,17.9,0.151,0.151,0.0,0.0,11:47:48.677
28,0.0,0.4627,25.4,1.5,0.0403,23.9,18.8,17.9,0.3776,0.0378,0.0,0.0,11:47:48.902
29,0.0,0.4834,23.9,1.5,0.0,23.9,18.6,17.9,0.4154,0.0,0.0,0.0,11:47:49.130
30,0.0,0.4358,25.4,1.5,0.0586,23.9,19.1,17.9,0.2266,0.0755,0.0,0.0,11:47:49.352
31,0.0,0.4456,23.9,1.5,0.0,25.3,19.1,17.9,0.3021,0.0,0.0,0.0,11:47:49.574
32,0.0,0.47,23.9,1.5,0.0916,23.9,19.1,17.9,0.2643,0.0755,0.0,0.0,11:47:49.796
33,0.0,0.4871,23.9,1.5,0.0586,23.9,19.3,17.9,0.3021,0.0378,0.0,0.0,11:47:50.044
34,0.0,0.5261,25.4,1.5,0.0,23.9,19.1,17.9,0.0755,0.0755,0.0,0.0,11:47:50.300
35,0.0,0.4639,23.9,1.5,0.0439,23.9,19.3,17.9,0.2643,0.0755,0.0,0.0,11:47:50.526
36,0.0,0.47,25.4,1.5,0.0,23.9,19.1,17.5,0.3776,0.0378,0.0,0.0,11:47:50.752
37,0.0,0.4639,23.9,1.5,0.0403,23.9,18.8,17.9,0.2643,0.0378,0.0,0.0,11:47:50.979
38,0.0,0.4395,23.9,1.5,0.0,23.9,19.1,17.5,0.2643,0.1133,0.0,0.0,11:47:51.209
39,0.0,0.47,23.9,1.5,0.1111,25.3,18.8,17.7,0.2643,0.0,0.0,0.0,11:47:51.434
40,0.0,0.4346,23.9,1.5,0.0562,23.9,19.3,18.2,0.3398,0.1888,0.0,0.0,11:47:51.654
41,0.0,0.4602,25.4,1.5,0.0,23.8,19.5,17.5,0.2266,0.3021,0.0,0.0,11:47:51.883
42,0.0,0.4785,23.9,1.5,0.0,23.9,19.1,17.7,0.2266,0.3398,0.0,0.0,11:47:52.118
43,0.0,0.4651,23.9,1.5,0.0,23.9,19.1,17.5,0.1888,0.4154,0.0,0.0,11:47:52.343
44,0.0,0.4248,25.4,1.5,0.0,25.3,19.5,17.7,0.4909,0.1888,0.0,0.0,11:47:52.570
45,0.0,0.4297,23.9,1.5,0.0,23.9,19.5,17.9,0.2266,0.5664,0.0,0.0,11:47:52.805
46,0.0,0.4407,23.9,1.5,0.0415,23.9,18.8,17.9,0.4154,0.151,0.0,0.0,11:47:53.030
47,0.0,0.3687,23.9,1.5,0.0,25.3,19.1,17.9,0.3398,0.0755,0.0,0.0,11:47:53.265
48,0.0,0.5029,24.0,1.5,0.0537,23.9,19.1,17.9,0.4909,0.0755,0.0,0.0,11:47:53.496
49,0.0,0.4553,23.9,1.5,0.0916,23.9,19.1,17.9,0.4909,0.0755,0.0,0.0,11:47:53.758
50,0.0,0.4077,23.9,1.5,0.1172,23.9,19.3,17.9,0.4154,0.0378,0.0,0.0,11:47:54.018
51,0.0,0.4871,23.9,1.5,0.0,23.9,19.3,17.9,0.3398,0.2266,0.0,0.0,11:47:54.277
52,0.0,0.5298,24.0,1.5,0.0208,23.9,19.1,17.7,0.2643,0.0,0.0,0.0,11:47:54.536
53,0.0,0.4407,25.4,1.5,0.0,23.9,19.1,18.4,0.151,0.1133,0.0,0.0,11:47:54.791
54,0.0,0.4688,23.9,1.5,0.0,25.3,18.6,18.2,0.3398,0.0755,0.0,0.0,11:47:55.015
55,0.0,0.4358,23.9,1.5,0.0,23.9,18.6,17.9,0.1133,0.0378,0.0,0.0,11:47:55.237
56,0.0,0.3931,25.4,1.5,0.0305,25.3,19.1,18.2,0.2643,0.0,0.0,0.0,11:47:55.467
57,0.0,0.3821,23.9,1.5,0.0464,23.9,18.8,17.9,0.3021,0.0378,0.0,0.0,11:47:55.691
58,0.0,0.3723,25.4,1.5,0.0,23.9,19.1,18.2,0.1133,0.0755,0.0,0.0,11:47:55.912
59,0.0,0.4028,23.9,1.5,0.0,23.9,19.1,17.9,0.3776,0.0378,0.0,0.0,11:47:56.138
60,0.0,0.4065,23.9,1.5,0.0122,23.9,19.1,18.2,0.2266,0.0378,0.0,0.0,11:47:56.400
61,0.0,0.4541,23.9,1.5,0.0208,23.9,18.6,17.7,0.2643,0.1133,0.0,0.0,11:47:56.661
62,0.0,0.3699,23.9,1.5,0.0012,23.9,19.1,17.9,0.2266,0.151,0.0,0.0,11:47:56.920
63,0.0,0.3931,23.9,1.5,0.0342,23.9,19.5,17.5,0.3776,0.1133,0.0,0.0,11:47:57.177
64,0.0,0.3455,23.9,1.5,0.0,23.9,18.8,17.5,0.3021,0.1133,0.0,0.0,11:47:57.413
65,0.0,0.4431,25.4,1.5,0.0,23.9,19.1,17.7,0.4154,0.0378,0.0,0.0,11:47:57.674
66,0.0,0.4724,25.4,1.5,0.0073,23.9,19.1,17.5,0.151,0.0378,0.0,0.0,11:47:57.912
67,0.0,0.4248,25.4,1.5,0.0464,25.3,19.1,17.5,0.3021,0.0378,0.0,0.0,11:47:58.177
68,0.0,0.4297,25.4,1.5,0.0012,25.3,18.6,18.4,0.3776,0.0378,0.0,0.0,11:47:58.444
69,0.0,0.4773,25.4,1.5,0.0842,25.3,19.1,18.2,0.2643,0.0755,0.0,0.0,11:47:58.702
70,0.0,0.5982,25.4,1.5,0.0,25.3,18.8,17.9,0.1888,0.151,0.0,0.0,11:47:58.964
71,0.0,0.4102,25.4,1.5,0.0891,25.3,19.3,17.9,0.4909,0.0755,0.0,0.0,11:47:59.228
72,0.0,0.5652,25.4,1.5,0.144,25.3,18.8,17.5,0.2643,0.1133,0.0,0.0,11:47:59.491
73,0.0,0.5383,25.4,1.5,0.1257,25.3,19.3,17.9,0.1888,0.0755,0.0,0.0,11:47:59.752
74,0.0,0.4492,24.0,1.5,0.0,25.3,19.1,17.9,0.4909,0.0755,0.0,0.0,11:48:00.011
