Log,ac_flowrate,cp_pressure,cp_temperature,cp_flowrate,mixer_pressure,mixer_temperature_Funnel,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_torque_M2,mixer_torque_M1,mixer_speed_M2,mixer_speed_M1,Time
1,0.0,0.46,26.7,1.5,0.25,24.7,25.0,23.4,3.44,3.4,119.93,120.65,13:34:13.772
2,0.0,0.43,25.3,1.5,0.29,24.7,25.2,23.6,2.98,2.91,119.59,120.66,13:34:15.359
3,0.0,0.39,26.7,1.5,0.31,24.7,25.7,24.1,4.15,4.23,120.2,118.51,13:34:16.558
4,0.0,0.45,26.7,1.5,0.26,24.7,25.0,23.4,3.7,2.76,119.81,119.87,13:34:17.771
5,0.0,0.42,25.3,1.5,0.26,26.2,25.4,22.7,3.47,2.72,119.79,120.32,13:34:18.974
6,0.0,0.47,25.3,1.5,0.28,24.7,25.2,23.4,3.74,3.1,120.51,119.1,13:34:20.172
7,0.0,0.46,25.3,1.5,0.33,24.7,25.0,22.5,3.44,3.02,119.96,120.07,13:34:21.391
8,0.0,0.45,26.7,1.5,0.25,24.7,25.4,22.9,3.13,3.25,120.35,120.41,13:34:22.600
9,0.0,0.43,25.3,1.5,0.24,24.7,25.4,22.9,2.95,2.87,119.74,120.16,13:34:23.807
10,0.0,0.45,25.3,1.5,0.26,26.2,25.2,23.6,4.23,3.32,119.69,119.89,13:34:25.007
11,0.0,0.46,25.3,1.5,0.28,24.7,25.0,23.6,3.25,3.59,119.05,119.89,13:34:26.235
12,0.0,0.47,26.7,1.5,0.3,24.7,25.4,23.2,3.4,4.08,119.93,119.83,13:34:27.431
13,0.0,0.44,26.7,1.5,0.26,24.7,25.4,23.4,4.3,3.85,119.88,120.33,13:34:28.643
14,0.0,0.47,25.3,1.5,0.27,26.2,25.9,22.9,2.95,2.53,119.74,119.93,13:34:29.847
15,0.0,0.44,25.3,1.5,0.24,24.7,25.0,23.4,3.62,3.36,120.39,119.48,13:34:31.061
16,0.0,0.39,25.3,1.5,0.29,24.7,25.2,22.9,3.66,2.53,120.39,120.01,13:34:32.266
17,0.0,0.44,26.7,1.5,0.27,24.7,25.0,22.9,3.4,2.83,119.75,119.74,13:34:33.474
18,0.0,0.45,25.3,1.5,0.2,26.2,25.7,22.7,2.98,3.93,120.09,120.93,13:34:34.682
19,0.0,0.45,25.3,1.5,0.28,24.7,25.4,23.4,3.32,3.06,120.34,120.12,13:34:35.888
20,0.0,0.48,25.3,1.5,0.28,24.7,25.4,23.4,3.55,2.95,120.18,120.02,13:34:37.093
21,0.0,0.44,26.7,1.5,0.22,24.7,25.2,23.2,2.83,2.42,120.95,120.34,13:34:38.301
22,0.0,0.43,25.3,1.5,0.25,26.2,25.4,22.9,3.51,3.89,120.18,119.76,13:34:39.517
23,0.0,0.42,25.3,1.5,0.27,26.2,25.0,23.8,3.4,3.29,119.96,120.49,13:34:40.717
24,0.0,0.38,25.3,1.5,0.27,24.7,25.4,22.9,3.4,3.51,119.47,119.62,13:34:41.930
25,0.0,0.46,25.3,1.5,0.25,24.7,25.9,23.4,3.47,3.21,120.2,119.87,13:34:43.166
26,0.0,0.43,25.3,1.5,0.25,24.7,25.9,23.2,3.4,3.13,120.3,120.42,13:34:44.395
27,0.0,0.42,26.7,1.5,0.3,24.7,25.4,22.9,3.29,3.44,119.96,119.82,13:34:45.600
28,0.0,0.43,25.3,1.5,0.27,24.7,25.9,22.7,2.61,2.95,120.04,119.65,13:34:46.803
29,0.0,0.44,25.3,1.5,0.29,26.2,25.7,22.9,3.51,3.32,119.97,119.79,13:34:48.014
30,0.0,0.43,25.3,1.5,0.27,24.7,25.2,22.9,4.08,4.08,119.79,119.9,13:34:49.201
31,0.0,0.43,25.3,1.5,0.34,24.7,25.2,23.2,3.02,2.87,119.86,121.21,13:34:50.428
32,0.0,0.46,26.7,1.5,0.29,24.7,25.2,23.4,3.59,3.21,119.96,120.27,13:34:51.638
33,0.0,0.42,26.7,1.5,0.27,24.7,25.2,23.2,2.87,3.17,120.06,120.22,13:34:52.876
34,0.0,0.43,25.3,1.5,0.25,26.2,25.4,23.4,4.0,3.25,121.47,119.81,13:34:54.083
35,0.0,0.4,25.3,1.5,0.26,26.2,25.9,23.4,2.91,2.68,119.73,119.97,13:34:55.282
36,0.0,0.45,25.3,1.5,0.31,24.7,25.7,23.4,3.89,3.51,121.95,120.72,13:34:56.505
37,0.0,0.42,26.7,1.5,0.29,24.7,25.0,23.4,3.85,3.7,119.52,120.23,13:34:57.703
38,0.0,0.45,25.3,1.5,0.29,26.2,25.4,22.9,3.66,2.79,120.01,119.98,13:34:58.901
39,0.0,0.41,25.3,1.5,0.26,26.2,25.4,22.9,3.4,4.23,119.69,119.43,13:35:00.110
40,0.0,0.45,25.3,1.5,0.29,24.7,25.9,22.7,2.79,2.72,120.64,119.8,13:35:01.317
41,0.0,0.44,26.7,1.5,0.25,24.7,25.9,22.9,3.47,2.83,120.06,119.51,13:35:02.519
42,0.0,0.43,26.7,1.5,0.3,24.7,25.4,23.4,2.91,3.47,119.03,120.1,13:35:03.737
43,0.0,0.45,25.3,1.5,0.28,24.7,25.4,22.9,3.25,3.21,119.96,120.48,13:35:04.943
44,0.0,0.44,25.3,1.5,0.25,24.7,25.4,23.4,3.7,3.85,120.27,119.9,13:35:06.145
45,0.0,0.44,26.7,1.5,0.27,24.7,25.4,23.8,2.53,2.79,119.7,120.07,13:35:07.351
46,0.0,0.44,25.3,1.5,0.27,26.2,25.9,23.6,2.83,3.4,119.28,119.39,13:35:08.552
47,0.0,0.48,25.3,1.5,0.27,24.7,25.4,23.8,3.06,2.98,119.99,119.78,13:35:09.757
48,0.0,0.43,25.3,1.5,0.26,24.7,25.4,23.8,3.25,2.68,119.84,120.51,13:35:10.972
49,0.0,0.43,26.7,1.5,0.27,24.7,25.9,23.4,3.59,3.25,119.79,119.66,13:35:12.180
50,0.0,0.46,25.3,1.5,0.26,24.7,25.7,24.1,3.32,3.1,119.4,120.5,13:35:13.387
51,0.0,0.44,25.3,1.5,0.27,24.7,25.7,23.4,4.12,2.98,119.53,120.0,13:35:14.595
52,0.0,0.45,25.3,1.5,0.28,24.7,25.4,23.8,2.76,2.76,119.97,120.3,13:35:15.802
53,0.0,0.43,25.3,1.5,0.25,24.7,25.4,23.2,3.44,2.87,119.93,119.62,13:35:17.024
54,0.0,0.43,26.7,1.5,0.28,24.7,25.4,23.4,3.1,3.47,120.36,120.14,13:35:18.243
55,0.0,0.49,26.7,1.5,0.3,24.7,25.9,23.4,3.96,4.42,119.79,120.09,13:35:19.449
