Log,ac_flowrate,mixer_torque_M1,mixer_torque_M2,cp_temperature,cp_flowrate,mixer_pressure,mixer_temperature_Funnel,mixer_speed_M2,mixer_motor_temperature_M2,mixer_motor_temperature_M1,cp_pressure,mixer_speed_M1,Time
1,0.0,1.888,1.926,25.8,1.5,0.269,23.6,119.863,20.7,18.8,0.415,119.863,12:17:38.930
2,0.0,1.85,2.341,24.3,1.5,0.232,23.6,120.067,20.9,18.8,0.396,120.067,12:17:40.038
3,0.0,2.379,2.19,25.8,1.5,0.223,23.6,119.923,20.2,18.4,0.426,119.923,12:17:41.148
4,0.0,2.492,2.643,24.3,1.5,0.222,23.6,119.955,20.7,19.3,0.413,119.955,12:17:42.255
5,0.0,1.775,2.379,24.3,1.5,0.212,23.6,120.337,20.9,18.8,0.428,120.337,12:17:43.360
6,0.0,2.115,1.926,24.3,1.5,0.261,23.6,119.777,21.1,19.3,0.431,119.777,12:17:44.462
7,0.0,2.756,2.266,24.3,1.5,0.271,23.6,119.881,20.7,18.8,0.42,119.881,12:17:45.568
8,0.0,2.077,2.605,25.8,1.5,0.254,23.6,119.912,20.7,18.8,0.397,119.912,12:17:46.673
9,0.0,2.19,2.832,24.3,1.5,0.194,23.6,120.089,20.7,18.8,0.459,120.089,12:17:47.797
10,0.0,1.85,2.266,24.3,1.5,0.232,25.1,120.051,21.1,19.1,0.416,120.051,12:17:48.904
11,0.0,2.719,2.152,25.8,1.5,0.264,23.6,119.607,20.7,19.1,0.426,119.607,12:17:50.011
12,0.0,1.661,2.568,24.3,1.5,0.251,25.1,119.963,21.1,19.3,0.411,119.963,12:17:51.119
13,0.0,1.548,2.228,25.8,1.5,0.243,23.6,120.551,20.7,19.3,0.42,120.551,12:17:52.220
14,0.0,2.341,2.001,24.3,1.5,0.193,23.6,119.843,21.1,19.3,0.438,119.843,12:17:53.330
15,0.0,2.266,2.379,24.3,1.5,0.222,25.1,119.861,20.7,19.5,0.417,119.861,12:17:54.434
16,0.0,1.85,2.454,25.8,1.5,0.226,23.6,120.138,20.7,19.3,0.391,120.138,12:17:55.538
17,0.0,2.303,2.756,24.3,1.5,0.222,23.6,120.027,21.1,19.5,0.428,120.027,12:17:56.643
18,0.0,2.341,2.756,24.4,1.5,0.217,23.6,119.769,21.1,19.8,0.42,119.769,12:17:57.743
19,0.0,1.812,2.454,24.4,1.5,0.203,23.6,119.923,21.6,18.8,0.41,119.923,12:17:58.849
20,0.0,2.454,2.756,24.4,1.5,0.222,23.6,119.683,21.3,19.5,0.407,119.683,12:17:59.949
21,0.0,2.643,2.417,24.4,1.5,0.211,23.6,120.011,20.9,18.8,0.386,120.011,12:18:01.051
22,0.0,2.039,2.152,24.4,1.5,0.223,25.1,120.227,21.3,19.3,0.426,120.227,12:18:02.156
23,0.0,1.812,2.379,25.8,1.5,0.209,23.6,120.224,20.7,20.0,0.422,120.224,12:18:03.256
24,0.0,2.454,2.53,24.4,1.5,0.199,25.1,120.016,20.9,19.5,0.408,120.016,12:18:04.361
25,0.0,1.964,2.115,25.8,1.5,0.203,23.6,119.797,20.9,19.8,0.435,119.797,12:18:05.461
26,0.0,2.379,2.152,24.4,1.5,0.214,23.6,120.072,21.1,19.3,0.417,120.072,12:18:06.568
27,0.0,3.965,2.945,24.4,1.5,0.231,25.1,119.062,21.3,19.8,0.4,119.062,12:18:07.684
28,0.0,1.964,2.908,25.8,1.5,0.221,23.6,119.96,21.1,19.3,0.438,119.96,12:18:08.783
29,0.0,2.077,2.001,24.4,1.5,0.237,25.1,119.979,20.9,19.5,0.45,119.979,12:18:09.884
30,0.0,2.19,2.341,25.8,1.5,0.233,23.6,119.819,21.6,20.0,0.446,119.819,12:18:10.983
31,0.0,2.152,2.152,24.4,1.5,0.216,25.1,120.212,21.1,20.2,0.417,120.212,12:18:12.082
32,0.0,2.303,2.19,24.4,1.5,0.273,23.6,120.318,20.9,19.3,0.391,120.318,12:18:13.185
33,0.0,2.039,2.681,24.4,1.5,0.266,23.6,119.906,21.1,18.8,0.405,119.906,12:18:14.336
34,0.0,2.417,2.756,24.4,1.5,0.254,23.6,120.024,21.1,19.3,0.428,120.024,12:18:15.439
35,0.0,2.341,2.417,24.4,1.5,0.203,25.1,120.096,21.6,19.3,0.449,120.096,12:18:16.545
36,0.0,2.379,2.568,25.8,1.5,0.31,23.6,120.104,21.1,19.3,0.42,120.104,12:18:17.647
37,0.0,2.832,2.228,24.4,1.5,0.221,23.6,120.485,20.9,19.1,0.482,120.485,12:18:18.770
38,0.0,2.303,3.436,24.4,1.5,0.231,25.1,120.145,21.1,19.1,0.426,120.145,12:18:19.874
39,0.0,3.587,2.681,25.9,1.5,0.211,23.6,118.821,21.1,20.4,0.446,118.821,12:18:20.981
40,0.0,2.53,2.266,24.4,1.5,0.222,25.1,119.865,21.1,20.0,0.492,119.865,12:18:22.089
41,0.0,2.379,2.454,24.5,1.5,0.273,23.6,120.744,20.9,19.8,0.405,120.744,12:18:23.197
42,0.0,2.341,3.814,25.9,1.5,0.216,23.6,119.825,21.1,19.3,0.425,119.825,12:18:24.308
43,0.0,1.586,2.794,24.4,1.5,0.206,25.1,119.666,21.1,19.5,0.458,119.666,12:18:25.415
44,0.0,2.077,1.888,24.4,1.5,0.233,23.6,120.026,21.8,19.1,0.415,120.026,12:18:26.523
45,0.0,2.643,2.719,24.5,1.5,0.206,23.6,119.859,21.1,20.0,0.446,119.859,12:18:27.627
46,0.0,2.341,3.059,24.5,1.5,0.237,23.6,120.3,21.1,19.3,0.465,120.3,12:18:28.734
47,0.0,2.417,2.908,25.9,1.5,0.271,23.6,119.796,21.1,19.3,0.431,119.796,12:18:29.838
