Log,cp_temperature,mixer_temperature_Funnel_outlet,ac_flowrate,cp_pressure,cp_flowrate,mixer_speed_M2,mixer_temperature_Funnel_plate,mixer_pressure,mixer_motor_temperature_M1,mixer_torque_M1,mixer_motor_temperature_M2,mixer_torque_M2,mixer_temperature_Funnel,mixer_speed_M1,Time
1,0.0,28.4,51.8,0.507,1.5,119.481,27.6,0.31,32.0,4.078,34.9,4.191,26.7,119.481,11:19:59.800
2,0.0,28.4,51.8,0.544,1.5,120.076,27.6,0.273,31.1,3.7,33.8,4.078,25.2,120.076,11:20:00.901
3,0.0,26.3,51.8,0.584,1.5,120.165,27.6,0.313,31.8,3.134,34.3,4.04,25.2,120.165,11:20:02.005
4,0.0,26.3,51.8,0.536,1.5,119.93,29.0,0.269,31.6,3.172,34.3,3.134,25.2,119.93,11:20:03.113
5,0.0,28.4,51.8,0.548,1.5,119.64,27.6,0.284,30.9,4.04,34.1,3.134,26.7,119.64,11:20:04.217
6,0.0,26.3,51.8,0.508,1.5,120.127,27.6,0.269,31.6,3.512,34.7,4.38,25.2,120.127,11:20:05.335
7,0.0,26.3,51.8,0.541,1.5,119.583,27.6,0.273,31.6,4.003,34.3,3.549,25.2,119.583,11:20:06.440
8,0.0,26.3,51.8,0.513,1.5,120.782,27.6,0.313,31.6,4.04,34.7,3.398,25.2,120.782,11:20:07.540
9,0.0,26.3,51.8,0.563,1.5,119.8,29.0,0.27,31.6,2.87,34.5,4.531,25.2,119.8,11:20:08.643
10,0.0,28.4,51.8,0.554,1.5,120.566,27.6,0.286,31.8,2.908,34.7,2.794,26.7,120.566,11:20:09.753
11,0.0,26.3,51.8,0.533,1.5,120.004,27.6,0.248,32.0,3.587,34.5,3.134,25.2,120.004,11:20:10.857
12,0.0,26.3,51.8,0.536,1.5,119.566,27.6,0.291,31.4,4.04,34.3,3.889,25.2,119.566,11:20:11.960
13,0.0,26.3,51.8,0.546,1.5,119.647,27.6,0.319,31.6,3.172,34.9,4.305,25.2,119.647,11:20:13.068
14,0.0,26.3,51.8,0.586,1.5,119.718,29.1,0.276,32.0,3.247,34.3,3.776,25.2,119.718,11:20:14.173
15,0.0,28.4,51.8,0.565,1.5,119.847,27.6,0.261,31.6,3.549,33.8,3.398,26.7,119.847,11:20:15.277
