Log,mixer_motor_temperature_M2,cp_flowrate,mixer_torque_M1,mixer_temperature_Funnel,mixer_temperature_Funnel_outlet,mixer_pressure,mixer_temperature_Funnel_plate,mixer_speed_M2,mixer_torque_M2,ac_flowrate,cp_pressure,cp_temperature,mixer_motor_temperature_M1,mixer_speed_M1,Time
1,23.4,1.5,2.945,25.4,26.2,0.295,27.1,59.931,2.794,0.0,0.767,0.0,21.8,59.931,14:25:53.287
2,23.8,1.5,2.077,25.4,26.2,0.276,27.1,59.505,2.454,0.0,0.801,0.0,21.8,59.505,14:25:54.393
3,23.4,1.5,2.228,25.4,28.3,0.281,25.7,60.282,2.266,0.0,0.844,0.0,21.8,60.282,14:25:55.499
4,23.8,1.5,2.568,25.4,26.2,0.291,25.6,59.795,3.436,0.0,0.724,0.0,21.1,59.795,14:25:56.601
5,23.8,1.5,2.945,25.4,28.3,0.284,25.7,59.64,2.794,0.0,0.817,0.0,22.3,59.64,14:25:57.700
6,23.4,1.5,2.908,25.4,26.2,0.295,25.7,59.943,2.945,0.0,0.793,0.0,21.1,59.943,14:25:58.802
7,23.8,1.5,3.549,25.5,26.2,0.299,27.1,59.443,3.474,0.0,0.721,0.0,21.8,59.443,14:25:59.911
8,23.2,1.5,2.87,26.9,28.3,0.283,25.7,59.31,2.983,0.0,0.82,0.0,22.0,59.31,14:26:01.022
9,23.6,1.5,2.115,25.4,26.2,0.355,25.7,59.858,2.643,0.0,0.73,0.0,21.8,59.858,14:26:02.128
10,23.2,1.5,1.888,25.5,26.2,0.237,25.7,59.855,2.719,0.0,0.815,0.0,21.8,59.855,14:26:03.230
11,23.8,1.5,2.379,26.9,26.2,0.269,25.7,60.111,1.888,0.0,0.782,0.0,22.5,60.111,14:26:04.339
12,23.4,1.5,2.53,25.5,26.2,0.304,27.1,59.81,3.474,0.0,0.768,0.0,21.6,59.81,14:26:05.445
13,23.4,1.5,3.436,26.9,28.3,0.298,25.7,59.974,3.285,0.0,0.754,0.0,21.3,59.974,14:26:06.550
14,23.8,1.5,2.643,25.5,26.2,0.343,25.7,60.44,3.096,0.0,0.784,0.0,21.8,60.44,14:26:07.672
15,24.1,1.5,2.19,25.4,26.2,0.317,27.1,60.117,3.512,0.0,0.748,0.0,21.3,60.117,14:26:08.778
16,23.8,1.5,2.379,26.9,28.3,0.245,25.7,60.478,2.908,0.0,0.807,0.0,21.8,60.478,14:26:09.883
17,23.2,1.5,2.115,25.5,26.2,0.331,27.1,60.475,3.398,0.0,0.739,0.0,21.6,60.475,14:26:10.985
18,23.6,1.5,2.379,25.5,26.2,0.276,25.7,60.181,3.436,0.0,0.781,0.0,21.3,60.181,14:26:12.102
19,23.8,1.5,2.303,25.5,26.2,0.294,25.7,61.062,2.87,0.0,0.768,0.0,22.0,61.062,14:26:13.204
20,23.6,1.5,3.059,25.4,26.2,0.276,27.1,59.836,2.681,0.0,0.806,0.0,21.6,59.836,14:26:14.305
