Log,mixer_temperature_outlet,ac_flowrate,cp_temperature_fresh,cp_temperature,mixer_pressure,mixer_torque_M2,cp_pressure,mixer_speed_M1,mixer_motor_temperature_M1,cp_flowrate,mixer_speed_M2,mixer_motor_temperature_M2,mixer_torque_M1,Time
1,25.7,159.0,24.2,21.8,0.289,4.191,0.725,119.204,20.0,3.0,119.204,21.6,3.814,10:49:33.258
2,23.7,159.0,22.8,21.8,0.281,3.323,0.641,120.754,19.8,3.0,120.754,21.8,3.738,10:49:34.358
3,25.8,159.0,24.2,21.9,0.288,4.04,0.679,119.935,20.4,3.0,119.935,22.3,2.945,10:49:35.478
4,23.7,159.0,22.8,23.3,0.291,2.983,0.741,119.996,19.8,3.0,119.996,22.3,2.832,10:49:36.584
5,23.7,159.0,22.8,23.3,0.266,3.927,0.684,120.576,19.8,3.0,120.576,22.5,2.756,10:49:37.700
6,25.8,159.0,24.2,21.9,0.276,3.549,0.707,119.564,20.0,3.0,119.564,21.6,4.607,10:49:38.806
7,23.7,159.0,22.8,23.3,0.294,3.889,0.72,119.785,19.5,3.0,119.785,22.3,2.908,10:49:39.911
8,25.8,159.0,22.8,21.9,0.264,3.512,0.64,119.547,20.0,3.0,119.547,22.3,2.756,10:49:41.017
9,23.7,159.0,22.8,21.9,0.298,2.454,0.688,119.854,20.4,3.0,119.854,22.0,3.587,10:49:42.125
10,23.7,159.0,22.8,23.3,0.276,5.702,0.734,119.933,20.9,3.0,119.933,22.3,2.492,10:49:43.231
11,25.8,159.0,24.3,21.9,0.288,4.078,0.658,119.406,20.4,3.0,119.406,22.0,4.682,10:49:44.335
12,23.7,159.0,22.8,23.4,0.291,3.587,0.726,119.755,19.5,3.0,119.755,22.3,2.794,10:49:45.438
13,23.7,159.0,22.8,21.9,0.284,3.323,0.701,120.034,20.2,3.0,120.034,21.8,3.965,10:49:46.546
14,25.8,159.0,22.8,21.9,0.281,3.134,0.619,120.714,20.2,3.0,120.714,21.6,2.568,10:49:47.655
15,23.7,159.0,22.8,21.9,0.259,3.323,0.676,119.686,20.0,3.0,119.686,22.5,3.247,10:49:48.754
16,25.8,159.0,24.2,21.9,0.256,3.889,0.721,120.308,20.4,3.0,120.308,22.3,3.172,10:49:49.859
17,23.7,159.0,22.8,23.4,0.275,4.229,0.658,119.947,19.3,3.0,119.947,22.3,2.605,10:49:50.968
18,23.7,159.0,22.8,21.9,0.278,2.454,0.731,120.083,20.2,3.0,120.083,22.3,2.681,10:49:52.074
19,23.7,159.0,22.8,21.9,0.28,3.814,0.717,120.152,19.8,3.0,120.152,22.3,2.945,10:49:53.178
20,23.7,159.0,22.8,23.4,0.314,3.889,0.619,119.533,20.0,3.0,119.533,22.5,3.7,10:49:54.285
21,25.8,159.0,24.3,22.0,0.308,3.776,0.757,119.864,20.4,3.0,119.864,21.8,4.607,10:49:55.392
22,23.7,159.0,22.8,23.4,0.298,4.38,0.698,119.991,20.7,3.0,119.991,22.3,3.134,10:49:56.500
23,23.7,159.0,22.8,22.0,0.259,3.172,0.648,120.448,19.3,3.0,120.448,22.3,3.247,10:49:57.606
24,25.8,159.0,24.3,22.0,0.264,4.947,0.75,119.953,20.4,3.0,119.953,22.5,2.379,10:49:58.715
25,23.7,159.0,22.8,23.4,0.295,3.474,0.656,121.566,19.8,3.0,121.566,22.3,2.945,10:49:59.815
26,25.8,159.0,24.3,22.0,0.283,4.418,0.691,120.006,19.8,3.0,120.006,22.3,3.549,10:50:00.926
27,23.7,159.0,22.8,23.4,0.303,3.852,0.751,119.708,19.5,3.0,119.708,22.5,3.323,10:50:02.031
28,23.7,159.0,22.8,22.0,0.28,3.625,0.701,120.211,20.0,3.0,120.211,22.3,2.983,10:50:03.136
29,25.8,159.0,22.8,22.0,0.283,3.738,0.676,119.807,20.0,3.0,119.807,22.3,3.21,10:50:04.239
30,23.7,159.0,22.8,23.4,0.294,3.889,0.719,120.115,19.8,3.0,120.115,22.7,3.323,10:50:05.346
31,25.8,159.0,24.3,22.0,0.289,3.965,0.664,120.105,19.8,3.0,120.105,22.3,3.361,10:50:06.450
32,23.7,159.0,22.8,23.4,0.284,3.096,0.712,120.183,19.8,3.0,120.183,22.5,3.965,10:50:07.562
33,23.7,159.0,22.8,22.0,0.298,4.04,0.758,120.287,20.4,3.0,120.287,22.7,2.605,10:50:08.665
34,25.8,159.0,22.8,22.0,0.288,3.927,0.678,119.57,20.4,3.0,119.57,22.9,2.643,10:50:09.769
35,23.7,159.0,22.8,23.4,0.276,3.285,0.682,119.585,19.8,3.0,119.585,22.3,3.7,10:50:10.874
36,25.8,159.0,24.3,22.0,0.298,3.587,0.709,120.283,20.0,3.0,120.283,22.0,2.832,10:50:11.980
37,23.7,159.0,22.8,23.5,0.284,2.719,0.643,120.147,19.8,3.0,120.147,22.3,2.945,10:50:13.080
38,23.7,159.0,22.8,22.0,0.289,2.87,0.686,120.509,20.7,3.0,120.509,22.3,2.454,10:50:14.187
39,25.8,159.0,22.8,22.0,0.273,3.096,0.736,119.769,20.7,3.0,119.769,22.5,3.247,10:50:15.294
40,23.7,159.0,22.8,23.5,0.276,3.776,0.653,120.007,20.4,3.0,120.007,22.3,3.663,10:50:16.394
41,23.7,159.0,24.3,22.0,0.289,3.663,0.706,119.922,20.4,3.0,119.922,22.3,2.794,10:50:17.514
42,25.8,159.0,22.8,22.0,0.28,3.134,0.712,120.628,20.4,3.0,120.628,22.7,2.983,10:50:18.637
43,23.7,159.0,22.8,23.5,0.227,3.285,0.658,119.721,19.8,3.0,119.721,22.3,3.323,10:50:19.743
44,23.8,159.0,24.3,22.1,0.298,3.7,0.703,121.434,20.4,3.0,121.434,22.7,3.663,10:50:20.846
