Log,cp_pressure,cp_flowrate,mixer_speed_M2,accHigh_flowrate,mixer_torque_M2,cp_temperature_fresh,cp_temperature,mixer_pressure,mixer_motor_temperature_M1,accLow_flowrate,mixer_motor_temperature_M2,mixer_temperature_outlet,mixer_speed_M1,mixer_torque_M1,Time
1,0.806,3.0,119.842,171.6,1.926,21.9,20.3,0.0,22.9,100.0,25.7,25.4,119.842,2.001,11:12:19.237
2,0.912,3.0,120.01,171.6,2.228,21.9,20.2,0.0,22.5,100.0,25.7,25.4,120.01,2.077,11:12:20.337
3,0.886,3.0,120.013,171.6,3.021,23.3,18.8,0.0,23.8,100.0,25.4,23.3,120.013,1.812,11:12:21.440
4,0.811,3.0,119.939,171.6,2.605,21.9,20.2,0.0,22.9,100.0,25.2,25.4,119.939,2.039,11:12:22.544
5,0.869,3.0,119.966,171.6,3.096,23.3,18.8,0.0,22.9,100.0,25.9,23.3,119.966,1.775,11:12:23.645
6,0.867,3.0,120.044,171.6,2.115,21.9,20.2,0.0,23.4,100.0,25.4,25.4,120.044,2.19,11:12:24.743
7,0.864,3.0,119.717,171.6,3.398,23.3,18.8,0.0,22.9,100.0,25.4,23.3,119.717,2.115,11:12:25.845
8,0.881,3.0,119.954,171.6,2.756,21.9,18.8,0.0,22.9,100.0,25.4,23.3,119.954,2.53,11:12:26.947
9,0.839,3.0,119.923,171.6,2.794,21.9,20.2,0.0,22.9,100.0,25.4,25.4,119.923,1.737,11:12:28.069
10,0.846,3.0,120.031,171.6,2.492,23.3,18.8,0.0,22.9,100.0,25.9,23.3,120.031,1.548,11:12:29.174
11,0.826,3.0,120.101,171.6,2.303,21.9,18.8,0.0,23.2,100.0,25.7,23.3,120.101,2.001,11:12:30.280
12,0.811,3.0,119.963,171.6,2.908,21.9,18.8,0.0,23.2,100.0,25.7,23.3,119.963,1.737,11:12:31.386
13,0.829,3.0,120.147,171.6,2.605,23.3,18.8,0.0,23.2,100.0,25.4,23.3,120.147,1.624,11:12:32.492
14,0.853,3.0,119.823,171.6,2.945,21.9,20.2,0.0,23.2,100.0,25.7,25.4,119.823,2.19,11:12:33.593
15,0.819,3.0,120.085,171.6,2.908,23.3,18.8,0.0,23.4,100.0,25.4,23.3,120.085,2.115,11:12:34.699
16,0.822,3.0,120.102,171.6,2.605,21.9,20.2,0.0,22.9,100.0,25.9,23.3,120.102,1.964,11:12:35.806
17,0.839,3.0,119.896,171.6,2.908,21.9,20.2,0.0,23.2,100.0,25.4,25.4,119.896,1.926,11:12:36.927
18,0.797,3.0,119.964,171.6,3.247,23.3,18.8,0.0,23.2,100.0,25.4,23.3,119.964,2.077,11:12:38.035
19,0.812,3.0,120.051,171.6,3.398,21.9,18.8,0.0,22.9,100.0,25.4,23.3,120.051,2.077,11:12:39.141
20,0.841,3.0,120.158,171.6,2.077,21.9,18.8,0.0,23.4,100.0,25.4,23.3,120.158,1.888,11:12:40.240
21,0.767,3.0,119.949,171.6,2.794,23.3,18.8,0.0,23.6,100.0,25.9,23.3,119.949,1.737,11:12:41.362
22,0.801,3.0,120.864,171.6,2.568,21.9,20.3,0.0,22.9,100.0,25.9,23.3,120.864,2.53,11:12:42.473
23,0.83,3.0,119.827,171.6,3.247,23.3,18.8,0.0,23.4,100.0,25.9,23.3,119.827,2.152,11:12:43.573
24,0.791,3.0,119.912,171.6,2.983,21.9,18.8,0.0,22.9,100.0,25.9,23.3,119.912,2.417,11:12:44.681
25,0.809,3.0,120.261,171.6,2.454,21.9,18.8,5.756,23.2,100.0,25.4,25.4,120.261,2.001,11:12:45.785
26,0.83,3.0,119.906,171.6,2.794,23.3,18.8,0.0,23.4,100.0,25.4,23.3,119.906,1.964,11:12:46.892
27,0.784,3.0,120.16,171.6,3.587,21.9,18.8,0.293,23.4,100.0,25.4,23.3,120.16,2.341,11:12:48.000
28,0.776,3.0,120.096,171.6,3.323,21.9,18.8,0.303,22.9,100.0,25.7,23.3,120.096,2.228,11:12:49.106
29,0.811,3.0,120.165,171.6,2.832,21.9,18.8,0.269,23.4,100.0,25.4,23.3,120.165,2.568,11:12:50.216
30,0.778,3.0,120.315,171.6,3.285,21.9,20.3,0.28,23.2,100.0,25.7,25.4,120.315,2.152,11:12:51.323
31,0.824,3.0,119.747,171.6,3.021,23.3,18.8,0.271,23.6,100.0,25.4,23.4,119.747,2.417,11:12:52.430
32,0.786,3.0,120.213,171.6,3.059,21.9,18.8,0.283,23.8,100.0,25.9,23.3,120.213,2.794,11:12:53.536
33,0.798,3.0,119.831,171.6,3.625,21.9,18.8,0.264,22.9,100.0,26.3,25.4,119.831,2.568,11:12:54.641
34,0.819,3.0,120.189,171.6,2.945,23.4,18.8,0.308,23.4,100.0,25.4,23.3,120.189,2.605,11:12:55.747
35,0.798,3.0,119.833,171.6,2.908,21.9,20.3,0.278,23.4,100.0,26.1,25.4,119.833,2.303,11:12:56.855
36,0.767,3.0,120.035,171.6,2.53,21.9,18.8,0.304,23.2,100.0,26.1,23.4,120.035,3.7,11:12:57.959
37,0.806,3.0,119.997,171.6,3.625,21.9,18.8,0.293,23.2,100.0,25.4,23.4,119.997,2.152,11:12:59.074
38,0.769,3.0,119.919,171.6,3.7,21.9,20.3,0.291,23.4,100.0,25.9,25.4,119.919,2.379,11:13:00.176
39,0.804,3.0,120.081,171.6,3.21,23.4,18.8,0.255,23.4,100.0,25.4,23.4,120.081,2.643,11:13:01.285
40,0.793,3.0,119.881,171.6,3.436,23.4,18.8,0.293,23.4,100.0,25.7,23.3,119.881,3.172,11:13:02.409
41,0.774,3.0,120.099,171.6,3.134,21.9,20.3,0.281,23.2,100.0,26.1,23.4,120.099,3.021,11:13:03.517
42,0.787,3.0,119.86,171.6,3.625,23.4,18.8,0.298,23.8,100.0,25.9,23.4,119.86,2.53,11:13:04.623
43,0.797,3.0,120.207,171.6,3.172,21.9,18.8,0.281,23.6,100.0,25.9,23.4,120.207,3.398,11:13:05.725
44,0.762,3.0,119.774,171.6,3.361,22.0,20.3,0.281,23.6,100.0,25.9,25.5,119.774,2.719,11:13:06.830
45,0.801,3.0,119.664,171.6,3.436,23.4,18.8,0.276,23.6,100.0,25.9,23.4,119.664,3.738,11:13:07.949
46,0.789,3.0,119.878,171.6,3.927,21.9,20.3,0.281,23.6,100.0,26.1,23.4,119.878,2.756,11:13:09.052
47,0.763,3.0,120.079,171.6,3.323,22.0,18.8,0.294,22.9,100.0,25.9,23.4,120.079,3.398,11:13:10.160
48,0.809,3.0,119.991,171.6,3.134,23.4,18.9,0.273,23.8,100.0,25.9,23.4,119.991,3.096,11:13:11.271
49,0.773,3.0,119.889,171.6,3.927,21.9,20.3,0.323,23.4,100.0,25.9,23.4,119.889,2.228,11:13:12.379
50,0.736,3.0,120.12,171.6,3.776,22.0,18.9,0.293,23.2,100.0,25.9,25.5,120.12,2.341,11:13:13.505
51,0.786,3.0,119.79,171.6,4.078,23.4,18.9,0.299,22.9,100.0,25.7,23.4,119.79,2.945,11:13:14.615
52,0.812,3.0,120.03,171.6,3.361,22.0,18.9,0.303,23.4,100.0,25.9,23.4,120.03,3.512,11:13:15.723
53,0.782,3.0,120.15,171.6,4.342,22.0,18.9,0.26,23.4,100.0,25.9,25.5,120.15,2.681,11:13:16.831
54,0.806,3.0,119.919,171.6,3.512,22.0,18.9,0.276,23.4,100.0,25.9,23.4,119.919,2.983,11:13:17.935
55,0.807,3.0,119.79,171.6,3.587,22.0,20.3,0.269,22.9,100.0,25.9,25.5,119.79,3.134,11:13:19.041
56,0.767,3.0,119.77,171.6,4.116,23.4,18.9,0.293,23.4,100.0,25.4,23.4,119.77,3.134,11:13:20.151
57,0.779,3.0,120.526,171.6,3.247,23.4,18.9,0.291,23.2,100.0,26.6,23.4,120.526,2.908,11:13:21.276
58,0.779,3.0,119.71,171.6,3.965,22.0,20.4,0.266,23.4,100.0,25.9,25.5,119.71,2.568,11:13:22.377
59,0.769,3.0,120.201,171.6,3.096,23.4,18.9,0.276,23.2,100.0,26.6,23.4,120.201,2.908,11:13:23.483
60,0.797,3.0,120.117,171.6,4.191,23.4,18.9,0.266,23.2,100.0,25.9,23.4,120.117,3.512,11:13:24.609
61,0.754,3.0,119.974,171.6,2.832,22.0,20.4,0.31,23.4,100.0,26.1,25.5,119.974,4.342,11:13:25.712
62,0.793,3.0,119.826,171.6,4.569,22.0,18.9,0.303,23.2,100.0,25.9,23.4,119.826,2.492,11:13:26.817
63,0.787,3.0,119.303,171.6,3.776,22.0,18.9,0.293,23.8,100.0,26.6,23.4,119.303,3.436,11:13:27.935
64,0.773,3.0,119.825,171.6,4.644,22.0,18.9,0.313,23.4,100.0,26.1,23.4,119.825,2.53,11:13:29.058
65,0.797,3.0,119.714,171.6,4.569,22.0,18.9,0.317,23.6,100.0,25.9,23.4,119.714,4.04,11:13:30.162
66,0.787,3.0,120.369,171.6,3.549,23.4,18.9,0.288,23.8,100.0,25.7,23.4,120.369,3.738,11:13:31.267
67,0.763,3.0,119.483,171.6,3.625,22.0,20.4,0.304,23.8,100.0,26.1,25.5,119.483,2.341,11:13:32.372
68,0.779,3.0,120.512,171.6,3.663,23.4,19.0,0.293,23.4,100.0,25.9,23.4,120.512,3.474,11:13:33.479
69,0.786,3.0,119.768,171.6,4.342,22.0,19.0,0.283,23.6,100.0,25.9,23.4,119.768,3.247,11:13:34.594
70,0.762,3.0,120.245,171.6,3.776,22.0,19.0,0.294,23.8,100.0,26.3,25.5,120.245,3.549,11:13:35.696
71,0.796,3.0,118.275,171.6,3.663,23.4,19.0,0.303,23.8,100.0,25.9,23.4,118.275,4.04,11:13:36.823
72,0.784,3.0,119.62,171.6,3.587,22.0,19.0,0.283,24.1,100.0,26.1,23.4,119.62,3.134,11:13:37.932
73,0.753,3.0,119.814,171.6,4.418,22.0,20.5,0.289,22.9,100.0,26.1,23.4,119.814,3.7,11:13:39.039
74,0.767,3.0,119.844,171.6,4.569,23.4,19.0,0.275,23.8,100.0,25.9,23.4,119.844,3.512,11:13:40.143
75,0.786,3.0,120.089,171.6,3.889,22.0,20.5,0.289,23.8,100.0,26.8,23.4,120.089,3.247,11:13:41.247
76,0.73,3.0,120.039,171.6,4.342,23.4,19.0,0.288,23.8,100.0,26.1,23.4,120.039,2.756,11:13:42.352
77,0.774,3.0,120.206,171.6,3.776,22.0,19.0,0.295,24.1,100.0,26.6,23.4,120.206,3.549,11:13:43.463
78,0.776,3.0,120.294,171.6,4.909,22.0,19.0,0.321,23.6,100.0,25.9,25.5,120.294,3.247,11:13:44.569
79,0.696,3.0,118.86,171.6,4.191,23.4,19.0,0.31,23.4,100.0,25.9,25.5,118.86,4.871,11:13:45.691
80,0.782,3.0,120.784,171.6,3.663,22.0,19.1,0.275,23.4,100.0,26.3,23.4,120.784,2.719,11:13:46.799
81,0.762,3.0,119.605,171.6,3.474,22.0,19.1,0.284,24.1,100.0,26.3,25.5,119.605,3.096,11:13:47.901
82,0.764,3.0,120.498,171.6,4.342,23.5,19.1,0.295,23.8,100.0,26.6,23.5,120.498,3.814,11:13:49.008
83,0.786,3.0,119.797,171.6,5.437,22.0,20.5,0.316,23.2,100.0,25.9,23.4,119.797,2.756,11:13:50.117
84,0.772,3.0,119.823,171.6,3.172,22.0,19.1,0.278,23.4,100.0,26.1,25.5,119.823,4.191,11:13:51.228
85,0.769,3.0,120.234,171.6,4.909,22.0,19.1,0.28,23.6,100.0,26.1,23.5,120.234,3.587,11:13:52.331
86,0.762,3.0,119.987,171.6,4.267,22.0,20.6,0.288,24.1,100.0,26.6,23.5,119.987,3.512,11:13:53.440
87,0.757,3.0,119.874,171.6,3.738,23.5,19.1,0.291,23.6,100.0,26.6,23.5,119.874,3.247,11:13:54.536
88,0.776,3.0,119.912,171.6,4.644,22.0,20.6,0.303,23.6,100.0,26.1,23.5,119.912,2.908,11:13:55.644
89,0.796,3.0,120.048,171.6,3.361,22.0,19.1,0.291,23.8,100.0,25.9,23.5,120.299,4.116,11:13:56.764
90,0.763,3.0,119.876,171.6,4.04,23.5,19.1,0.278,24.1,100.0,26.6,23.5,119.876,2.341,11:13:57.872
91,0.759,3.0,120.251,171.6,4.758,22.0,20.6,0.294,23.8,100.0,26.1,23.5,120.251,3.096,11:13:58.995
92,0.796,3.0,120.052,171.6,4.833,22.0,20.6,0.299,23.6,100.0,25.9,23.5,120.052,3.549,11:14:00.117
93,0.768,3.0,119.559,171.6,3.021,23.5,19.2,0.278,23.8,100.0,26.1,25.6,119.559,5.702,11:14:01.217
94,0.779,3.0,119.65,171.6,4.569,22.1,19.2,0.284,23.2,100.0,26.6,23.5,119.65,3.21,11:14:02.339
95,0.778,3.0,120.207,171.6,4.342,22.1,20.6,0.288,23.4,100.0,26.3,23.5,120.207,3.247,11:14:03.446
96,0.721,3.0,119.625,171.6,4.04,23.5,19.2,0.295,23.8,100.0,26.3,25.6,119.625,2.832,11:14:04.563
97,0.753,3.0,120.06,171.6,3.852,22.1,19.2,0.291,24.3,100.0,26.3,23.5,120.06,2.643,11:14:05.669
98,0.758,3.0,120.073,171.6,3.852,22.0,20.7,0.281,23.4,100.0,26.3,23.5,120.073,3.021,11:14:06.802
99,0.734,3.0,119.468,171.6,4.003,22.1,19.2,0.291,23.4,100.0,26.3,23.5,119.468,3.549,11:14:07.905
100,0.762,3.0,119.866,171.6,4.607,22.0,19.2,0.284,23.4,100.0,26.6,23.5,119.866,3.134,11:14:09.023
101,0.769,3.0,119.772,171.6,5.513,22.1,19.2,0.291,23.8,100.0,26.6,23.5,119.772,2.945,11:14:10.118
102,0.719,3.0,120.459,171.6,3.398,23.5,19.2,0.288,23.6,100.0,26.6,25.6,120.459,3.549,11:14:11.225
103,0.757,3.0,119.163,171.6,4.871,23.5,19.2,0.27,24.1,100.0,26.6,25.6,119.163,3.738,11:14:12.365
104,0.75,3.0,120.433,171.6,3.549,22.1,20.7,0.295,23.4,100.0,26.6,23.6,120.433,3.096,11:14:13.472
