Log,sup_admixture_pump_set_flush_flowrate,sup_admixture_pump_flush_on,sup_admixture_pump_check_duration,sup_admixture_pump_set_check_flowrate,sup_admixture_pump_check_on,sup_admixture_pump_set_dosing_factor,sup_admixture_pump_set_flowrate,sup_admixture_pump_set_run,sup_admixture_pump_on,sup_admixture_pump_max_flowrate,sup_admixture_pump_no_error,sup_admixture_pump_is_ready,sup_admixture_pump_is_run,admixture_pump_set_flush_flowrate,admixture_pump_flush_on,admixture_pump_check_duration,admixture_pump_set_check_flowrate,admixture_pump_check_on,admixture_pump_set_dosing_factor,admixture_pump_set_flowrate,admixture_pump_set_run,admixture_pump_on,admixture_max_flowrate,admixture_pump_no_error,admixture_pump_is_ready,admixture_pump_is_run,concrete_pump_set_dosing_factor,concrete_pump_set_speed,concrete_pump_set_flowrate,concrete_pump_forward_on,concrete_pump_driver_error,concrete_pump_safety_grid_on,concrete_pump_power_on,concrete_pump_is_ready,concrete_pump_is_run,concrete_pump_pressure,concrete_pump_temperature,concrete_fresh_temperature,mixer_set_curved_mode_on,mixer_set_speed,mixer_set_run,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_pressure_funnel_inlet,mixer_temperature_funnel_outlet,mixer_torque_M2,mixer_torque_M1,mixer_speed_M2,mixer_speed_M1,mixer_is_ready,mixer_is_run,Time
1,0,False,0,0,False,100,900,True,True,148,True,False,True,0,False,0,0,False,100,1720,True,True,606,True,False,True,32,0,30,True,False,True,True,True,True,0.061525315046310425,25.0,27.2,False,65535,True,19.5,18.4,0.02465895563364029,23.7,2.42,2.53,120,120,True,True,09:11:57.173
2,0,False,0,0,False,100,900,True,True,148,True,False,True,0,False,0,0,False,100,1720,True,True,606,True,False,True,32,0,30,True,False,True,True,True,True,0.05652027726173401,26.5,25.7,False,65535,True,19.8,17.9,0.02465895563364029,25.8,3.74,2.27,120,120,True,True,09:11:58.208
3,0,False,0,0,False,100,900,True,True,148,True,False,True,0,False,0,0,False,100,1720,True,True,606,True,False,True,32,0,30,True,False,True,True,True,True,0.0626239836215973,25.0,27.2,False,65535,True,20.0,17.9,0.02612384557723999,23.7,3.17,2.04,120,120,True,True,09:11:59.236
4,0,False,0,0,False,100,900,True,True,148,True,False,True,0,False,0,0,False,100,1720,True,True,606,True,False,True,32,0,30,True,False,True,True,True,True,0.06726279258728027,25.0,27.2,False,65535,True,20.2,17.9,0.026001769304275512,23.7,2.95,2.34,120,120,True,True,09:12:00.269
5,0,False,0,0,False,100,900,True,True,148,True,False,True,0,False,0,0,False,100,1720,True,True,606,True,False,True,32,0,30,True,False,True,True,True,True,0.05883968472480774,26.5,25.7,False,65535,True,19.5,18.2,0.025635549426078798,25.8,3.29,2.3,120,120,True,True,09:12:01.299
6,0,False,0,0,False,100,900,True,True,148,True,False,True,0,False,0,0,False,100,1720,True,True,606,True,False,True,32,0,30,True,False,True,True,True,True,0.06384472250938415,26.5,25.7,False,65535,True,19.5,17.9,0.023316141963005067,23.7,2.45,2.79,120,120,True,True,09:12:02.329
7,0,False,0,0,False,100,900,True,True,148,True,False,True,0,False,0,0,False,100,1720,True,True,606,True,False,True,32,0,30,True,False,True,True,True,True,0.06396679878234864,25.0,25.7,False,65535,True,20.2,17.9,0.028809472918510437,23.7,3.21,3.29,120,120,True,True,09:12:03.359
8,0,False,0,0,False,100,900,True,True,148,True,False,True,0,False,0,0,False,100,1720,True,True,606,True,False,True,32,0,30,True,False,True,True,True,True,0.05603198409080505,25.0,27.2,False,65535,True,20.2,17.9,0.02233954966068268,23.7,2.3,3.06,120,120,True,True,09:12:04.393
9,0,False,0,0,False,100,900,True,True,148,True,False,True,0,False,0,0,False,100,1720,True,True,606,True,False,True,32,0,30,True,False,True,True,True,True,0.06445509195327759,25.0,25.7,False,65535,True,19.5,17.9,0.02380443811416626,23.7,2.27,2.95,120,120,True,True,09:12:05.427
10,0,False,0,0,False,100,900,True,True,148,True,False,True,0,False,0,0,False,100,1720,True,True,606,True,False,True,32,0,30,True,False,True,True,True,True,0.06726279258728027,25.0,25.7,False,65535,True,19.5,18.2,0.02539139986038208,25.8,2.98,2.49,120,120,True,True,09:12:06.460
