Log,sup_admixture_pump_set_flush_flowrate,sup_admixture_pump_flush_on,sup_admixture_pump_check_duration,sup_admixture_pump_set_check_flowrate,sup_admixture_pump_check_on,sup_admixture_pump_set_dosing_factor,sup_admixture_pump_set_flowrate,sup_admixture_pump_set_run,sup_admixture_pump_on,sup_admixture_pump_max_flowrate,sup_admixture_pump_no_error,sup_admixture_pump_is_ready,sup_admixture_pump_is_run,admixture_pump_set_flush_flowrate,admixture_pump_flush_on,admixture_pump_check_duration,admixture_pump_set_check_flowrate,admixture_pump_check_on,admixture_pump_set_dosing_factor,admixture_pump_set_flowrate,admixture_pump_set_run,admixture_pump_on,admixture_max_flowrate,admixture_pump_no_error,admixture_pump_is_ready,admixture_pump_is_run,concrete_pump_set_dosing_factor,concrete_pump_set_speed,concrete_pump_set_flowrate,concrete_pump_forward_on,concrete_pump_driver_error,concrete_pump_safety_grid_on,concrete_pump_power_on,concrete_pump_is_ready,concrete_pump_is_run,concrete_pump_pressure,concrete_pump_temperature,concrete_fresh_temperature,mixer_set_curved_mode_on,mixer_set_speed,mixer_set_run,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_pressure_funnel_inlet,mixer_temperature_funnel_outlet,mixer_torque_M2,mixer_torque_M1,mixer_speed_M2,mixer_speed_M1,mixer_is_ready,mixer_is_run,Time
1,0,False,0,0,False,100,1260,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,30,True,False,True,True,True,True,0.0,24.8,24.7,False,65535,True,20.2,17.7,0.03027436137199402,26.4,4.49,4.15,120,120,True,True,09:19:22.808
2,0,False,0,0,False,100,1260,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,30,True,False,True,True,True,True,0.0,24.8,26.2,False,65535,True,20.2,18.4,0.03088473081588745,26.4,4.83,3.36,120,120,True,True,09:19:23.835
3,0,False,0,0,False,100,1260,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,30,True,False,True,True,True,True,0.0,24.8,24.7,False,65535,True,20.4,17.9,0.029908138513565063,26.4,4.72,3.74,120,120,True,True,09:19:24.868
4,0,False,0,0,False,100,1260,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,30,True,False,True,True,True,True,0.0,26.3,24.7,False,65535,True,20.2,17.9,0.02954191863536835,28.5,4.04,3.17,121,120,True,True,09:19:25.896
5,0,False,0,0,False,100,1260,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,30,True,False,True,True,True,True,0.0,26.3,24.7,False,65535,True,20.4,18.6,0.03100680708885193,28.5,4.91,4.19,120,120,True,True,09:19:26.927
6,0,False,0,0,False,100,1260,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,30,True,False,True,True,True,True,0.0,24.8,24.7,False,65535,True,20.4,17.9,0.03027436137199402,26.5,4.0,4.08,120,120,True,True,09:19:27.956
7,0,False,0,0,False,100,1260,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,30,True,False,True,True,True,True,0.0,26.3,24.7,False,65535,True,20.0,18.2,0.030518510937690736,26.5,3.93,4.23,120,120,True,True,09:19:28.987
8,0,False,0,0,False,100,1260,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,30,True,False,True,True,True,True,0.0,26.3,24.7,False,65535,True,20.2,18.4,0.026001769304275512,28.6,2.87,5.25,120,120,True,True,09:19:30.019
9,0,False,0,0,False,100,1260,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,30,True,False,True,True,True,True,0.0,26.3,24.7,False,65535,True,20.4,17.9,0.03100680708885193,28.5,3.21,3.44,120,120,True,True,09:19:31.052
10,0,False,0,0,False,100,1260,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,30,True,False,True,True,True,True,0.0,24.8,24.7,False,65535,True,20.4,18.6,0.027954953908920287,28.6,4.15,3.32,119,121,True,True,09:19:32.092
