Log,sup_admixture_pump_set_flush_flowrate,sup_admixture_pump_flush_on,sup_admixture_pump_check_duration,sup_admixture_pump_set_check_flowrate,sup_admixture_pump_check_on,sup_admixture_pump_set_dosing_factor,sup_admixture_pump_set_flowrate,sup_admixture_pump_set_run,sup_admixture_pump_on,sup_admixture_pump_max_flowrate,sup_admixture_pump_no_error,sup_admixture_pump_is_ready,sup_admixture_pump_is_run,admixture_pump_set_flush_flowrate,admixture_pump_flush_on,admixture_pump_check_duration,admixture_pump_set_check_flowrate,admixture_pump_check_on,admixture_pump_set_dosing_factor,admixture_pump_set_flowrate,admixture_pump_set_run,admixture_pump_on,admixture_max_flowrate,admixture_pump_no_error,admixture_pump_is_ready,admixture_pump_is_run,concrete_pump_set_dosing_factor,concrete_pump_set_speed,concrete_pump_set_flowrate,concrete_pump_forward_on,concrete_pump_driver_error,concrete_pump_safety_grid_on,concrete_pump_power_on,concrete_pump_is_ready,concrete_pump_is_run,concrete_pump_pressure,concrete_pump_temperature,concrete_fresh_temperature,mixer_set_curved_mode_on,mixer_set_speed,mixer_set_run,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_pressure_funnel_inlet,mixer_temperature_funnel_outlet,mixer_torque_M2,mixer_torque_M1,mixer_speed_M2,mixer_speed_M1,mixer_is_ready,mixer_is_run,Time
1,0,False,0,0,False,100,1200,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,26.2,25.0,False,120,True,19.5,17.9,0.06543168425559998,24.0,1.81,1.32,120,120,True,True,11:02:40.511
2,0,False,0,0,False,100,1200,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,24.8,25.1,False,120,True,19.3,17.5,0.0626239836215973,24.0,2.34,1.59,120,120,True,True,11:02:41.543
3,0,False,0,0,False,100,1200,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,24.8,25.1,False,120,True,19.1,17.0,0.0634784996509552,26.1,2.34,1.43,120,120,True,True,11:02:42.576
4,0,False,0,0,False,100,1200,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,26.2,25.1,False,120,True,19.1,17.3,0.06567583084106446,24.0,2.42,1.66,120,120,True,True,11:02:43.611
5,0,False,0,0,False,100,1200,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,24.8,25.0,False,120,True,19.1,17.5,0.060060429573059085,26.1,2.57,1.89,120,120,True,True,11:02:44.646
6,0,False,0,0,False,100,1200,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,24.8,26.5,False,120,True,19.1,17.7,0.06530960798263549,24.0,2.61,2.19,120,120,True,True,11:02:45.681
7,0,False,0,0,False,100,1200,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,24.8,25.1,False,120,True,19.1,17.0,0.06530960798263549,24.0,2.64,1.89,120,120,True,True,11:02:46.720
8,0,False,0,0,False,100,1200,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,24.8,25.1,False,120,True,19.1,17.3,0.06494339108467102,26.1,2.15,2.34,120,120,True,True,11:02:47.752
9,0,False,0,0,False,100,1200,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,24.8,25.1,False,120,True,18.8,17.3,0.06640827655792236,26.1,1.96,2.23,120,120,True,True,11:02:48.791
10,0,False,0,0,False,100,1200,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,26.3,25.1,False,120,True,19.1,16.8,0.06567583084106446,26.1,2.38,1.85,120,120,True,True,11:02:49.832
11,0,False,0,0,False,100,1200,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,26.3,25.1,False,120,True,19.1,17.5,0.06714072227478027,24.0,2.0,2.23,120,120,True,True,11:02:50.871
12,0,False,0,0,False,100,1200,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,24.8,25.1,False,120,True,19.1,17.9,0.06189153790473938,24.0,2.27,2.08,120,120,True,True,11:02:51.910
13,0,False,0,0,False,100,1200,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,24.8,25.0,False,120,True,18.8,17.0,0.06616412997245788,24.0,2.38,1.66,120,120,True,True,11:02:52.952
