Log,sup_admixture_pump_set_flush_flowrate,sup_admixture_pump_flush_on,sup_admixture_pump_check_duration,sup_admixture_pump_set_check_flowrate,sup_admixture_pump_check_on,sup_admixture_pump_set_dosing_factor,sup_admixture_pump_set_flowrate,sup_admixture_pump_set_run,sup_admixture_pump_on,sup_admixture_pump_max_flowrate,sup_admixture_pump_no_error,sup_admixture_pump_is_ready,sup_admixture_pump_is_run,admixture_pump_set_flush_flowrate,admixture_pump_flush_on,admixture_pump_check_duration,admixture_pump_set_check_flowrate,admixture_pump_check_on,admixture_pump_set_dosing_factor,admixture_pump_set_flowrate,admixture_pump_set_run,admixture_pump_on,admixture_max_flowrate,admixture_pump_no_error,admixture_pump_is_ready,admixture_pump_is_run,concrete_pump_set_dosing_factor,concrete_pump_set_speed,concrete_pump_set_flowrate,concrete_pump_forward_on,concrete_pump_driver_error,concrete_pump_safety_grid_on,concrete_pump_power_on,concrete_pump_is_ready,concrete_pump_is_run,concrete_pump_pressure,concrete_pump_temperature,concrete_fresh_temperature,mixer_set_curved_mode_on,mixer_set_speed,mixer_set_run,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_pressure_funnel_inlet,mixer_temperature_funnel_outlet,mixer_torque_M2,mixer_torque_M1,mixer_speed_M2,mixer_speed_M1,mixer_is_ready,mixer_is_run,Time
1,0,False,0,0,False,100,1300,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,25.3,26.4,False,120,True,22.3,19.3,0.06189153790473938,29.7,3.62,3.4,120,120,True,True,09:12:08.169
2,0,False,0,0,False,100,1300,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,25.3,24.9,False,120,True,22.5,19.8,0.07348856925964356,27.6,4.83,2.98,120,120,True,True,09:12:09.203
3,0,False,0,0,False,100,1300,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,25.3,26.4,False,120,True,22.7,19.3,0.07116916179656982,27.7,4.04,3.93,121,120,True,True,09:12:10.238
4,0,False,0,0,False,100,1300,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,25.3,24.9,False,120,True,22.0,19.3,0.07385479211807251,27.7,3.51,3.4,120,120,True,True,09:12:11.272
5,0,False,0,0,False,100,1300,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,25.3,24.9,False,120,True,22.3,20.4,0.0731223464012146,29.7,2.72,5.14,120,120,True,True,09:12:12.304
6,0,False,0,0,False,100,1300,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,25.3,26.4,False,120,True,22.3,19.8,0.07104709148406982,27.7,2.76,4.04,121,120,True,True,09:12:13.338
7,0,False,0,0,False,100,1300,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,25.4,24.9,False,120,True,22.5,20.4,0.0731223464012146,27.6,2.76,4.38,120,120,True,True,09:12:14.369
8,0,False,0,0,False,100,1300,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,26.8,24.9,False,120,True,22.3,20.4,0.06677449941635132,29.7,2.76,4.0,120,120,True,True,09:12:15.399
9,0,False,0,0,False,100,1300,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,26.8,24.9,False,120,True,22.5,19.8,0.07287819981575012,27.7,3.96,3.7,119,120,True,True,09:12:16.427
10,0,False,0,0,False,100,1300,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,25.3,26.4,False,120,True,22.3,20.4,0.07153538465499878,27.7,3.44,3.21,120,121,True,True,09:12:17.459
11,0,False,0,0,False,100,1300,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,25.3,24.9,False,120,True,22.5,20.7,0.07434309124946595,27.7,4.12,2.64,121,120,True,True,09:12:18.488
12,0,False,0,0,False,100,1300,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,26.8,24.9,False,120,True,22.5,20.7,0.07141331434249878,29.7,4.12,2.72,121,120,True,True,09:12:19.521
13,0,False,0,0,False,100,1300,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,26.8,24.9,False,120,True,22.5,20.4,0.06921597719192504,29.8,4.08,3.7,120,120,True,True,09:12:20.559
14,0,False,0,0,False,100,1300,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,26.8,24.9,False,120,True,22.0,20.2,0.07385479211807251,27.7,3.93,2.72,120,121,True,True,09:12:21.595
15,0,False,0,0,False,100,1300,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,25.3,26.4,False,120,True,22.5,20.2,0.06787316799163819,27.7,3.89,3.62,120,120,True,True,09:12:22.627
16,0,False,0,0,False,100,1300,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,25.3,24.9,False,120,True,21.8,20.0,0.07238990664482117,27.6,4.68,2.98,119,120,True,True,09:12:23.656
17,0,False,0,0,False,100,1300,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,25.3,24.9,False,120,True,22.5,19.8,0.07104709148406982,27.7,4.08,3.25,120,120,True,True,09:12:24.689
18,0,False,0,0,False,100,1300,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,25.4,24.9,False,120,True,22.3,20.2,0.07190160751342774,29.7,4.12,3.55,120,120,True,True,09:12:25.723
19,0,False,0,0,False,100,1300,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,25.3,24.9,False,120,True,22.7,20.4,0.0721457540988922,27.7,3.21,4.19,120,120,True,True,09:12:26.756
20,0,False,0,0,False,100,1300,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,25.3,26.4,False,120,True,22.5,20.2,0.07190160751342774,27.7,4.04,4.04,120,120,True,True,09:12:27.790
21,0,False,0,0,False,100,1300,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,25.3,26.4,False,120,True,22.7,19.8,0.07531968355178834,27.7,2.87,3.62,120,120,True,True,09:12:28.824
22,0,False,0,0,False,100,1300,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,26.8,24.9,False,120,True,22.5,19.8,0.06640827655792236,29.8,3.36,4.3,120,120,True,True,09:12:29.856
23,0,False,0,0,False,100,1300,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,26.8,24.9,False,120,True,22.3,20.4,0.07617419958114624,29.8,3.47,4.38,120,120,True,True,09:12:30.894
24,0,False,0,0,False,100,1300,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,26.8,24.9,False,120,True,22.7,20.7,0.07068086862564087,27.7,3.4,3.44,120,120,True,True,09:12:31.932
25,0,False,0,0,False,100,1300,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,25.3,24.9,False,120,True,22.7,19.8,0.07287819981575012,27.7,4.42,2.61,119,120,True,True,09:12:32.971
26,0,False,0,0,False,100,1300,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,25.3,24.9,False,120,True,22.3,20.2,0.07238990664482117,27.7,3.44,3.55,120,120,True,True,09:12:34.002
27,0,False,0,0,False,100,1300,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,26.8,24.9,False,120,True,22.7,20.4,0.07092501521110535,27.7,4.23,2.3,120,120,True,True,09:12:35.031
28,0,False,0,0,False,100,1300,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,25.4,24.9,False,120,True,22.5,20.2,0.07238990664482117,27.7,3.06,3.55,120,120,True,True,09:12:36.062
29,0,False,0,0,False,100,1300,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,25.3,26.4,False,120,True,22.5,19.8,0.06970427632331848,27.7,3.62,2.83,120,120,True,True,09:12:37.096
30,0,False,0,0,False,100,1300,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,25.3,24.9,False,120,True,22.7,19.8,0.07409893870353698,27.7,3.29,3.93,120,120,True,True,09:12:38.129
31,0,False,0,0,False,100,1300,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,26.8,24.9,False,120,True,22.5,19.8,0.07092501521110535,27.7,4.04,2.91,120,120,True,True,09:12:39.168
32,0,False,0,0,False,100,1300,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,25.4,25.0,False,120,True,22.3,19.8,0.07336649894714356,29.8,3.89,2.76,120,120,True,True,09:12:40.204
33,0,False,0,0,False,100,1300,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,25.4,24.9,False,120,True,22.7,20.2,0.07348856925964356,27.7,4.04,3.7,120,120,True,True,09:12:41.246
34,0,False,0,0,False,100,1300,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,25.4,26.4,False,120,True,22.3,19.8,0.0705587923526764,27.7,3.62,3.36,120,120,True,True,09:12:42.279
35,0,False,0,0,False,100,1300,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,25.4,26.4,False,120,True,22.7,20.0,0.07348856925964356,27.7,3.06,4.08,121,120,True,True,09:12:43.317
36,0,False,0,0,False,100,1300,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,26.8,24.9,False,120,True,22.0,20.2,0.06616412997245788,27.7,3.21,3.29,120,120,True,True,09:12:44.353
37,0,False,0,0,False,100,1300,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,26.8,24.9,False,120,True,22.9,20.0,0.07336649894714356,29.8,3.21,4.8,120,120,True,True,09:12:45.387
38,0,False,0,0,False,100,1300,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,25.4,24.9,False,120,True,22.3,20.2,0.07190160751342774,29.8,4.46,3.29,119,120,True,True,09:12:46.424
39,0,False,0,0,False,100,1300,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,26.8,25.0,False,120,True,22.5,20.4,0.07409893870353698,27.7,4.27,2.23,121,122,True,True,09:12:47.460
40,0,False,0,0,False,100,1300,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,25.4,24.9,False,120,True,22.7,20.4,0.07141331434249878,27.7,3.25,2.91,120,120,True,True,09:12:48.500
41,0,False,0,0,False,100,1300,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,25.4,26.4,False,120,True,22.5,20.7,0.07251197695732117,27.7,3.29,2.91,120,120,True,True,09:12:49.538
42,0,False,0,0,False,100,1300,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,25.4,25.0,False,120,True,22.7,19.8,0.07348856925964356,27.7,3.44,3.78,120,120,True,True,09:12:50.577
43,0,False,0,0,False,100,1300,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,25.4,25.0,False,120,True,22.9,20.9,0.06921597719192504,27.7,4.0,3.78,120,120,True,True,09:12:51.618
44,0,False,0,0,False,100,1300,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,25.4,24.9,False,120,True,22.7,20.2,0.07409893870353698,29.8,4.87,2.79,120,120,True,True,09:12:52.659
45,0,False,0,0,False,100,1300,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,25.4,25.0,False,120,True,22.3,20.4,0.07019256949424743,27.7,4.38,3.59,120,120,True,True,09:12:53.694
46,0,False,0,0,False,100,1300,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,25.4,25.0,False,120,True,22.7,19.8,0.07165746092796325,27.7,4.08,2.49,120,120,True,True,09:12:54.727
47,0,False,0,0,False,100,1300,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,25.4,24.9,False,120,True,22.9,20.4,0.0720236837863922,27.7,3.81,3.66,121,120,True,True,09:12:55.761
